#HtmlTag   | FlowDocumentTag                    | TagName              | ExtraModify
address    | System.Windows.Documents.Section   | TagAddress           |
article    | System.Windows.Documents.Section   | TagArticle           |
aside      | System.Windows.Documents.Section   | TagAside             |
blockquote | System.Windows.Documents.Section   | TagBlockquote        |
center     | System.Windows.Documents.Section   | TagCenter            | Center
div        | #blocks                            |                      |
footer     | System.Windows.Documents.Section   | TagFooter            |
h1         | #blocks                            | TagHeading1          |
h2         | #blocks                            | TagHeading2          |
h3         | #blocks                            | TagHeading3          |
h4         | #blocks                            | TagHeading4          |
h5         | #blocks                            | TagHeading5          |
h6         | #blocks                            | TagHeading6          |
noframes   | #blocks                            |                      |
noscript   | #blocks                            |                      |
p          | #blocks                            |                      |
