#HtmlTag   | FlowDocumentTag                    | TagName              | ExtraModify
a          | System.Windows.Documents.Hyperlink | TagHyperlink         | Hyperlink
abbr       | System.Windows.Documents.Span      | TagAbbr              | Acronym
acronym    | System.Windows.Documents.Span      | TagAbbr              | Acronym
b          | System.Windows.Documents.Bold      | TagBold              |
bdi        | System.Windows.Documents.Span      | TagBdi               |
br         | System.Windows.Documents.LineBreak |                      |
cite       | System.Windows.Documents.Span      | TagCite              |
del        | System.Windows.Documents.Span      | TagStrikethrough     | Strikethrough
em         | System.Windows.Documents.Italic    | TagItalic            |
i          | System.Windows.Documents.Italic    | TagItalic            |
ins        | System.Windows.Documents.Underline | TagUnderline         |
mark       | System.Windows.Documents.Span      | TagMark              |
s          | System.Windows.Documents.Span      | TagStrikethrough     | Strikethrough
strike     | System.Windows.Documents.Span      | TagStrikethrough     | Strikethrough
strong     | System.Windows.Documents.Bold      | TagBold              |
sub        | System.Windows.Documents.Span      | TagSubscript         | Subscript
sup        | System.Windows.Documents.Span      | TagSuperscript       | Superscript
u          | System.Windows.Documents.Underline | TagUnderline         |
code       | System.Windows.Documents.Span      | TagCodeSpan          |
kbd        | System.Windows.Documents.Span      | TagCodeSpan          |
var        | System.Windows.Documents.Span      | TagCodeSpan          |
